,id,target
0,0,1
1,1,0
2,2,0
3,3,1
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,1
10,10,1
11,11,0
12,12,0
13,13,1
14,14,1
15,15,1
16,16,0
17,17,1
18,18,1
19,19,0
20,20,0
21,21,0
22,22,1
23,23,1
24,24,1
25,25,0
26,26,0
27,27,1
28,28,1
29,29,0
30,30,0
31,31,1
32,32,0
33,33,1
34,34,0
35,35,0
36,36,0
37,37,1
38,38,0
39,39,0
40,40,0
41,41,0
42,42,1
43,43,1
44,44,1
45,45,1
46,46,1
47,47,0
48,48,1
49,49,1
50,50,0
51,51,0
52,52,1
53,53,0
54,54,1
55,55,1
56,56,1
57,57,1
58,58,0
59,59,0
60,60,0
61,61,1
62,62,0
63,63,1
64,64,0
65,65,0
66,66,0
67,67,1
68,68,1
69,69,1
70,70,0
71,71,1
72,72,1
73,73,0
74,74,1
75,75,1
76,76,0
77,77,0
78,78,0
79,79,0
80,80,1
81,81,0
82,82,0
83,83,0
84,84,0
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,90,1
91,91,1
92,92,1
93,93,0
94,94,0
95,95,1
96,96,0
97,97,0
98,98,0
99,99,0
100,100,1
101,101,0
102,102,0
103,103,0
104,104,0
105,105,0
106,106,0
107,107,0
108,108,1
109,109,0
110,110,1
111,111,1
112,112,0
113,113,0
114,114,0
115,115,0
116,116,0
117,117,0
118,118,0
119,119,1
120,120,0
121,121,0
122,122,0
123,123,0
124,124,1
125,125,1
126,126,1
127,127,1
128,128,0
129,129,0
130,130,0
131,131,0
132,132,0
133,133,0
134,134,1
135,135,1
136,136,1
137,137,1
138,138,0
139,139,0
140,140,1
141,141,1
142,142,1
143,143,0
144,144,1
145,145,0
146,146,1
147,147,1
148,148,1
149,149,1
150,150,0
151,151,0
152,152,1
153,153,1
154,154,1
155,155,0
156,156,1
157,157,0
158,158,0
159,159,0
160,160,0
161,161,0
162,162,0
163,163,0
164,164,0
165,165,0
166,166,0
167,167,1
168,168,1
169,169,1
170,170,1
171,171,1
172,172,1
173,173,1
174,174,0
175,175,1
176,176,1
177,177,1
178,178,1
179,179,0
180,180,1
181,181,1
182,182,1
183,183,0
184,184,0
185,185,0
186,186,0
187,187,0
188,188,0
189,189,0
190,190,1
191,191,1
192,192,0
193,193,1
194,194,0
195,195,0
196,196,0
197,197,1
198,198,1
199,199,0
200,200,0
201,201,1
202,202,1
203,203,1
204,204,1
205,205,1
206,206,0
207,207,1
208,208,0
209,209,0
210,210,1
211,211,0
212,212,1
213,213,1
214,214,1
215,215,1
216,216,0
217,217,1
218,218,0
219,219,0
220,220,1
221,221,1
222,222,1
223,223,1
224,224,0
225,225,1
226,226,0
227,227,0
228,228,0
229,229,1
230,230,1
231,231,0
232,232,1
233,233,0
234,234,0
235,235,0
236,236,0
237,237,0
238,238,1
239,239,0
240,240,1
241,241,0
242,242,1
243,243,0
244,244,0
245,245,1
246,246,0
247,247,1
248,248,0
249,249,1
250,250,1
251,251,0
252,252,1
253,253,0
254,254,1
255,255,0
256,256,1
257,257,1
258,258,1
259,259,1
260,260,1
261,261,0
262,262,1
263,263,1
264,264,1
265,265,0
266,266,1
267,267,1
268,268,1
269,269,1
270,270,1
271,271,1
272,272,0
273,273,0
274,274,1
275,275,0
276,276,0
277,277,0
278,278,0
279,279,1
280,280,0
281,281,0
282,282,1
283,283,1
284,284,0
285,285,0
286,286,0
287,287,0
288,288,0
289,289,0
290,290,1
291,291,1
292,292,1
293,293,0
294,294,1
295,295,1
296,296,0
297,297,1
298,298,1
299,299,1
300,300,0
301,301,0
302,302,0
303,303,1
304,304,0
305,305,0
306,306,0
307,307,0
308,308,0
309,309,0
310,310,1
311,311,0
312,312,1
313,313,1
314,314,0
315,315,1
316,316,0
317,317,1
318,318,0
319,319,0
320,320,0
321,321,0
322,322,0
323,323,1
324,324,0
325,325,0
326,326,1
327,327,1
328,328,1
329,329,1
330,330,0
331,331,1
332,332,0
333,333,1
334,334,0
335,335,1
336,336,0
337,337,0
338,338,0
339,339,0
340,340,0
341,341,0
342,342,1
343,343,0
344,344,1
345,345,0
346,346,0
347,347,1
348,348,0
349,349,0
350,350,0
351,351,1
352,352,0
353,353,1
354,354,0
355,355,0
356,356,0
357,357,1
358,358,1
359,359,0
360,360,1
361,361,1
362,362,1
363,363,0
364,364,1
365,365,1
366,366,0
367,367,1
368,368,1
369,369,0
370,370,1
371,371,1
372,372,1
373,373,0
374,374,1
375,375,0
376,376,0
377,377,1
378,378,0
379,379,0
380,380,0
381,381,0
382,382,0
383,383,1
384,384,1
385,385,1
386,386,0
387,387,1
388,388,1
389,389,1
390,390,1
391,391,1
392,392,1
393,393,0
394,394,1
395,395,1
396,396,1
397,397,1
398,398,1
399,399,1
400,400,0
401,401,1
